path,basename,font_family,font_full_name,font_postscript_name
/System/Library/Fonts/Supplemental/Verdana Bold Italic.ttf,Verdana Bold Italic.ttf,Verdana,Verdana Bold Italic,Verdana-BoldItalic
/System/Library/Fonts/Supplemental/Verdana.ttf,Verdana.ttf,Verdana,Verdana,Verdana
/System/Library/Fonts/Supplemental/Verdana Bold.ttf,Verdana Bold.ttf,Verdana,Verdana Bold,Verdana-Bold
/System/Library/Fonts/Supplemental/Verdana Italic.ttf,Verdana Italic.ttf,Verdana,Verdana Italic,Verdana-Italic
/System/Library/Fonts/Supplemental/Waseem.ttc,Waseem.ttc,Waseem,Waseem Regular,Waseem
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/37618f984b05fb22375ca0987912653aba363389.asset/AssetData/WawaSC-Regular.otf,WawaSC-Regular.otf,Wawati SC,Wawati SC Regular,DFWaWaSC-W5
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/9f4afe404b767c06554b8b78551e10e92f695147.asset/AssetData/WawaTC-Regular.otf,WawaTC-Regular.otf,Wawati TC,Wawati TC Regular,DFWaWaTC-W5
/System/Library/Fonts/Supplemental/Webdings.ttf,Webdings.ttf,Webdings,Webdings,Webdings
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/c745f84f5eb15b1f594d3769dc86146fccee61ff.asset/AssetData/WeibeiSC-Bold.otf,WeibeiSC-Bold.otf,Weibei SC,Weibei SC Bold,WeibeiSC-Bold
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/c4f5f063cf47a2009786f645b423c09ea75666b8.asset/AssetData/WeibeiTC-Bold.otf,WeibeiTC-Bold.otf,Weibei TC Bold,Weibei TC Bold,WeibeiTC-Bold
/System/Library/Fonts/Supplemental/Wingdings.ttf,Wingdings.ttf,Wingdings,Wingdings,Wingdings-Regular
/System/Library/Fonts/Supplemental/Wingdings 2.ttf,Wingdings 2.ttf,Wingdings 2,Wingdings 2,Wingdings2
/System/Library/Fonts/Supplemental/Wingdings 3.ttf,Wingdings 3.ttf,Wingdings 3,Wingdings 3,Wingdings3
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/13b8ce423f920875b28b551f9406bf1014e0a656.asset/AssetData/Xingkai.ttc,Xingkai.ttc,Xingkai SC,Xingkai SC Bold,STXingkaiSC-Bold
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/b7a6a6575a699e801915b73b9e1e75c74a3404ce.asset/AssetData/YuGothic-Bold.otf,YuGothic-Bold.otf,YuGothic Bold,YuGothic Bold,YuGo-Bold
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/ee89e7987a76cc8cfdff36c96bd7bc77655b343e.asset/AssetData/YuGothic-Medium.otf,YuGothic-Medium.otf,YuGothic Medium,YuGothic Medium,YuGo-Medium
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/2b7cea021df336d26a89f699c8469a51c721e9a2.asset/AssetData/Kyokasho.ttc,Kyokasho.ttc,YuKyokasho Yoko,YuKyokasho Yoko Medium,YuKyo_Yoko-Medium
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/99517f5220d46dff05d0dbb2a22d0036afefb089.asset/AssetData/YuMincho.ttc,YuMincho.ttc,YuMincho Medium,YuMincho Medium,YuMin-Medium
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/4a418d1fa4860652a3241e8ee457806c8557fc64.asset/AssetData/Yuanti.ttc,Yuanti.ttc,Yuanti SC,Yuanti SC Regular,STYuanti-SC-Regular
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/b860c3b445cd974141686f9fcfee362886d80bd9.asset/AssetData/YuppySC-Regular.otf,YuppySC-Regular.otf,Yuppy SC,Yuppy SC Regular,YuppySC-Regular
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/ac5cfaf67b84566ed61f464ef9820d3d59d18bf0.asset/AssetData/YuppyTC-Regular.otf,YuppyTC-Regular.otf,Yuppy TC,Yuppy TC Regular,YuppyTC-Regular
/System/Library/Fonts/ZapfDingbats.ttf,ZapfDingbats.ttf,Zapf Dingbats,Zapf Dingbats,ZapfDingbatsITC
/System/Library/Fonts/Supplemental/Zapfino.ttf,Zapfino.ttf,Zapfino,Zapfino,Zapfino
/Users/xiangyucheng/Library/Fonts/GongFanLeTaoTi-2.ttf,GongFanLeTaoTi-2.ttf,gongfanletaoti,龚帆乐淘体,gongfanletaoti
/Users/xiangyucheng/Library/Fonts/iFonts航天筑梦体(商用需授权).ttf,iFonts航天筑梦体(商用需授权).ttf,iFontsHTZMT_T,iFontsHTZMT_T,iFontsHTZMT_T
/Users/xiangyucheng/Library/Fonts/id-ftmaru400a-2.ttf,id-ftmaru400a-2.ttf,id-POP_FTMARU,id-POP_FTMARU,id-POP_FTMARU
/Users/xiangyucheng/Library/Fonts/pandabakery.ttf,pandabakery.ttf,panda bakery,panda bakery,pandabakery
/Users/xiangyucheng/Library/Fonts/叶立群几何常规体粗.ttf,叶立群几何常规体粗.ttf,yeliqunjihecanguiti,yeliqunjihecanguiti,YLQJHCGTC
/Users/xiangyucheng/Library/Fonts/ZiHunDaRuHei(ShangYongXuShouQuan)-2.ttf,ZiHunDaRuHei(ShangYongXuShouQuan)-2.ttf,zihundaruhei_trial,zihundaruhei_trial,zihundaruhei_trial
/Users/xiangyucheng/Library/Fonts/字魂海马体字体(商用需授权).ttf,字魂海马体字体(商用需授权).ttf,zihunhaimatiziti_T,zihunhaimatiziti_T,zihunhaimatiziti_T
/Users/xiangyucheng/Library/Fonts/字魂头号玩家(商用需授权).ttf,字魂头号玩家(商用需授权).ttf,zihuntouhaowanjia,zihuntouhaowanjia,zihun444hao-touhaowanjia-Regular
/Users/xiangyucheng/Library/Fonts/字魂学士黑(商用需授权).ttf,字魂学士黑(商用需授权).ttf,zihunxueshihei_trial,zihunxueshihei_trial,zihunxueshihei_trial
/Users/xiangyucheng/Library/Fonts/HanYiChaoCuSongJian-1.ttf,HanYiChaoCuSongJian-1.ttf,汉仪超粗宋简,汉仪超粗宋简,HYa0gj
/Users/xiangyucheng/Library/Fonts/HanYiChaoCuHeiJian-1.ttf,HanYiChaoCuHeiJian-1.ttf,汉仪超粗黑简,汉仪超粗黑简,HYb0gj
/Users/xiangyucheng/Library/Fonts/汉鼎简特粗黑.ttf,汉鼎简特粗黑.ttf,汉鼎简特粗黑,汉鼎简特粗黑,handingjiantecuhei
/Users/xiangyucheng/Library/Fonts/QingSongShouXieTi2-2.ttf,QingSongShouXieTi2-2.ttf,清松手寫體2,清松手寫體2,JasonWriting2
/Users/xiangyucheng/Library/Fonts/郑庆科黄油体（完美曲线版需购买授权）.ttf,郑庆科黄油体（完美曲线版需购买授权）.ttf,郑庆科黄油体Regular,郑庆科黄油体Regular,郑庆科黄油体Regular
